('Total Revenue', '387,542,000', '365,817,000', '274,515,000', '260,174,000', '265,595,000')
         490033 function calls (471208 primitive calls) in 1.194 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    151/3    0.000    0.000    0.147    0.049 <frozen importlib._bootstrap_external>:877(exec_module)
       98    0.000    0.000    0.001    0.000 typing.py:1016(__init__)
     2434    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      946    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      422    0.000    0.000    0.000    0.000 __init__.py:495(string_container)
     1242    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
      151    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      179    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      883    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      800    0.000    0.000    0.000    0.000 typing.py:935(_is_dunder)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     2400    0.000    0.000    0.000    0.000 element.py:1532(__bool__)
       10    0.000    0.000    0.000    0.000 enum.py:553(<listcomp>)
     1438    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
  623/606    0.000    0.000    0.002    0.000 typing.py:306(inner)
       11    0.000    0.000    0.176    0.016 {method 'join' of 'bytes' objects}
      597    0.000    0.000    0.000    0.000 enum.py:678(__new__)
      424    0.000    0.000    0.000    0.000 _htmlparser.py:195(handle_data)
      195    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
     1458    0.000    0.000    0.000    0.000 element.py:1906(descendants)
      171    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      308    0.000    0.000    0.000    0.000 css_parser.py:250(css_unescape)
      324    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
      491    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      617    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      964    0.000    0.000    0.002    0.000 {built-in method builtins.next}
  136/131    0.000    0.000    0.001    0.000 css_parser.py:397(freeze)
      739    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      279    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      173    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      154    0.000    0.000    0.879    0.006 ssl.py:1120(read)
      397    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      197    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        1    0.000    0.000    0.002    0.002 six.py:1(<module>)
      426    0.000    0.000    0.000    0.000 __init__.py:745(handle_data)
      617    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
  638/608    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      320    0.000    0.000    0.000    0.000 types.py:176(__get__)
      604    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
      243    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       51    0.000    0.000    0.000    0.000 __init__.py:620(_linkage_fixer)
     1342    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 ssl.py:1330(_real_close)
      195    0.000    0.000    0.000    0.000 sre_parse.py:923(fix_flags)
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      390    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
       99    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
     1324    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      337    0.000    0.000    0.058    0.000 re.py:249(compile)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
       84    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
    228/3    0.000    0.000    0.146    0.049 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       42    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      279    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
       42    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       97    0.000    0.000    0.000    0.000 enum.py:980(__or__)
    91/54    0.000    0.000    0.092    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        3    0.000    0.000    0.000    0.000 socket.py:220(__init__)
      748    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      337    0.000    0.000    0.000    0.000 element.py:2059(_normalize_search_value)
      189    0.000    0.000    0.000    0.000 css_types.py:360(__init__)
       12    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
       41    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
  152/151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      202    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
     1060    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      618    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
     1060    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
    66/35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      227    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1726    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      618    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        3    0.000    0.000    0.020    0.007 utils.py:1(<module>)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
      406    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      279    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       80    0.000    0.000    0.000    0.000 parser.py:122(set_cdata_mode)
      238    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      234    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       46    0.000    0.000    0.000    0.000 six.py:108(__init__)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        8    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
       31    0.000    0.000    0.001    0.000 typing.py:483(Union)
      196    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      141    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     1103    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       25    0.000    0.000    0.176    0.007 response.py:776(read_chunked)
       69    0.000    0.000    0.000    0.000 css_parser.py:544(parse_tag_pattern)
      344    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.000    0.000 connectionpool.py:105(HTTPConnectionPool)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
      270    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      212    0.000    0.000    0.000    0.000 _collections_abc.py:904(__iter__)
      473    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       39    0.000    0.000    0.001    0.000 typing.py:1137(__getitem__)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
        1    0.000    0.000    0.039    0.039 __init__.py:120(__init__)
      151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
       29    0.000    0.000    0.000    0.000 ipaddress.py:1609(_ip_int_from_string)
      509    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       98    0.000    0.000    0.000    0.000 typing.py:947(__init__)
       42    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
        1    0.000    0.000    1.194    1.194 financial.py:1(<module>)
        1    0.000    0.000    1.047    1.047 financial.py:11(run)
       10    0.000    0.000    0.001    0.000 enum.py:483(_create_)
      229    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      243    0.000    0.000    0.000    0.000 element.py:1489(get)
        1    0.000    0.000    0.014    0.014 dammit.py:67(EntitySubstitution)
      202    0.000    0.000    0.000    0.000 os.py:754(encode)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.000    0.000 status_codes.py:109(_init)
        1    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
      171    0.000    0.000    0.003    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 pathlib.py:538(PurePath)
      320    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      380    0.000    0.000    0.000    0.000 os.py:758(decode)
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
        2    0.000    0.000    0.000    0.000 request.py:2488(getproxies_environment)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
      199    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      954    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
    42/30    0.000    0.000    0.005    0.000 css_parser.py:581(parse_pseudo_class)
        1    0.000    0.000    0.032    0.032 css_parser.py:1(<module>)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
      201    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
       68    0.000    0.000    0.001    0.000 _htmlparser.py:107(handle_startendtag)
        1    0.000    0.000    0.003    0.003 random.py:1(<module>)
    39/18    0.000    0.000    0.108    0.006 {built-in method builtins.__import__}
        3    0.000    0.000    0.008    0.003 request.py:1(<module>)
      998    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
       25    0.000    0.000    0.172    0.007 response.py:754(_handle_chunk)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1202(_parse_octet)
       92    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      237    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
        1    0.000    0.000    0.000    0.000 ssl.py:1001(SSLSocket)
      240    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
       31    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
      175    0.000    0.000    0.000    0.000 typing.py:137(_type_convert)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      239    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      238    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
  136/131    0.000    0.000    0.000    0.000 css_parser.py:387(_freeze_relations)
        2    0.000    0.000    0.004    0.002 models.py:1(<module>)
        2    0.000    0.000    0.001    0.000 socks.py:1(<module>)
        1    0.000    0.000    0.010    0.010 cookiejar.py:1(<module>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       54    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       40    0.000    0.000    0.172    0.004 client.py:623(_safe_read)
       22    0.000    0.000    0.020    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
       26    0.000    0.000    0.001    0.000 response.py:740(_update_chunk_length)
       66    0.000    0.000    0.001    0.000 typing.py:1146(copy_with)
      485    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
