('Total Revenue', '387,542,000', '365,817,000', '274,515,000', '260,174,000', '265,595,000')
         448697 function calls (430575 primitive calls) in 0.891 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      186    0.000    0.000    0.000    0.000 util.py:196(escape_re_range_char)
      184    0.000    0.000    0.000    0.000 {method 'pop' of 'collections.deque' objects}
      182    0.000    0.000    0.000    0.000 element.py:810(<genexpr>)
      181    0.000    0.000    0.000    0.000 element.py:1529(__contains__)
  180/102    0.000    0.000    0.001    0.000 core.py:1832(default_name)
      178    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      176    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      172    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      169    0.000    0.000    0.000    0.000 typing.py:515(<genexpr>)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      166    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      166    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      165    0.000    0.000    0.000    0.000 enum.py:986(__and__)
      165    0.000    0.000    0.003    0.000 sre_compile.py:536(_compile_info)
      165    0.000    0.000    0.017    0.000 sre_compile.py:598(_code)
      165    0.000    0.000    0.046    0.000 sre_compile.py:759(compile)
      165    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      165    0.000    0.000    0.000    0.000 sre_parse.py:923(fix_flags)
      165    0.000    0.000    0.029    0.000 sre_parse.py:939(parse)
      165    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
    164/3    0.000    0.000    0.108    0.036 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      161    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      160    0.000    0.000    0.000    0.000 socket.py:730(readable)
      160    0.000    0.000    0.000    0.000 core.py:1700(leave_whitespace)
      159    0.000    0.000    0.626    0.004 socket.py:691(readinto)
      159    0.000    0.000    0.625    0.004 ssl.py:1120(read)
      159    0.000    0.000    0.625    0.004 ssl.py:1262(recv_into)
      159    0.624    0.004    0.624    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      159    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      159    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      156    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      155    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
      154    0.000    0.000    0.001    0.000 typing.py:947(__init__)
      154    0.000    0.000    0.001    0.000 typing.py:1016(__init__)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      138    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
    138/3    0.000    0.000    0.109    0.036 <frozen importlib._bootstrap>:1022(_find_and_load)
      138    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
    137/3    0.000    0.000    0.109    0.036 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      136    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      136    0.001    0.000    0.174    0.001 {method 'read' of '_io.BufferedReader' objects}
      136    0.000    0.000    0.000    0.000 css_parser.py:371(__init__)
  136/131    0.000    0.000    0.000    0.000 css_parser.py:387(_freeze_relations)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:397(freeze)
      136    0.000    0.000    0.001    0.000 css_types.py:203(__init__)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      134    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      134    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      134    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      131    0.000    0.000    0.000    0.000 util.py:199(no_escape_re_range_char)
      129    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      129    0.000    0.000    0.003    0.000 sre_parse.py:96(closegroup)
      127    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
      126    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      126    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    126/3    0.000    0.000    0.109    0.036 <frozen importlib._bootstrap>:664(_load_unlocked)
      125    0.000    0.000    0.000    0.000 core.py:1711(set_whitespace_chars)
   125/36    0.000    0.000    0.000    0.000 core.py:1862(__str__)
      124    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      124    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      122    0.000    0.000    0.000    0.000 core.py:3803(<genexpr>)
      121    0.000    0.000    0.000    0.000 core.py:1915(__eq__)
      117    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      116    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      116    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      116    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
   113/56    0.000    0.000    0.001    0.000 core.py:3724(<listcomp>)
   113/56    0.000    0.000    0.002    0.000 core.py:3722(copy)
      110    0.001    0.000    0.001    0.000 sre_compile.py:492(_get_charset_prefix)
      108    0.000    0.000    0.000    0.000 typing.py:1142(<genexpr>)
  106/104    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
    106/1    0.000    0.000    0.891    0.891 {built-in method builtins.exec}
      106    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      105    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
    105/3    0.000    0.000    0.109    0.036 <frozen importlib._bootstrap_external>:877(exec_module)
      105    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
      105    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      105    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      105    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      105    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
      105    0.002    0.000    0.002    0.000 {built-in method io.open_code}
    102/2    0.000    0.000    0.001    0.000 core.py:776(_parseNoCache)
      101    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
       98    0.000    0.000    0.000    0.000 constant.py:336(<lambda>)
       97    0.000    0.000    0.000    0.000 core.py:5713(<genexpr>)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       93    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       92    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       92    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
       86    0.000    0.000    0.000    0.000 enum.py:980(__or__)
       86    0.000    0.000    0.001    0.000 typing.py:1146(copy_with)
       86    0.000    0.000    0.000    0.000 core.py:1868(streamline)
       84    0.000    0.000    0.000    0.000 css_parser.py:812(parse_combinator)
       82    0.000    0.000    0.000    0.000 results.py:136(__new__)
    82/80    0.000    0.000    0.000    0.000 results.py:159(__init__)
       82    0.000    0.000    0.000    0.000 element.py:1570(__eq__)
    80/54    0.000    0.000    0.001    0.000 typing.py:401(__getitem__)
       80    0.000    0.000    0.000    0.000 typing.py:1233(<genexpr>)
       80    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
    77/58    0.000    0.000    0.000    0.000 typing.py:1246(__hash__)
       77    0.000    0.000    0.000    0.000 core.py:2266(__init__)
       77    0.000    0.000    0.002    0.000 css_parser.py:474(parse_attribute_selector)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
       76    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       75    0.000    0.000    0.000    0.000 typing.py:219(<listcomp>)
       75    0.000    0.000    0.000    0.000 core.py:3601(__init__)
       73    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       72    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       71    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
       69    0.000    0.000    0.000    0.000 css_parser.py:544(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       68    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       68    0.000    0.000    0.001    0.000 _htmlparser.py:107(handle_startendtag)
       64    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       64    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
       63    0.000    0.000    0.000    0.000 core.py:4349(__init__)
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
       61    0.000    0.000    0.000    0.000 dammit.py:166(<listcomp>)
       60    0.000    0.000    0.000    0.000 core.py:757(preParse)
       60    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       59    0.000    0.000    0.000    0.000 core.py:3904(<genexpr>)
       58    0.000    0.000    0.001    0.000 core.py:3783(__init__)
       57    0.000    0.000    0.001    0.000 core.py:1352(__add__)
       56    0.000    0.000    0.001    0.000 core.py:3643(<listcomp>)
     56/9    0.000    0.000    0.001    0.000 core.py:3635(leave_whitespace)
       55    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
       55    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       55    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       54    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
       54    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
       54    0.000    0.000    0.001    0.000 typing.py:483(Union)
       54    0.000    0.000    0.000    0.000 iri2uri.py:48(encode)
       53    0.000    0.000    0.000    0.000 re.py:269(escape)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       53    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       52    0.000    0.000    0.001    0.000 css_parser.py:1113(<listcomp>)
